FileName,ImageID,Status,Caption,Error
open_images_train_e1dc80b2fac29fbd_80.ogg,e1dc80b2fac29fbd,ok,In this image there are groups of tortoises. In the background there is water and there is a wall.,
open_images_train_1839197b5f5f85c8_107.ogg,1839197b5f5f85c8,ok,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky.",
open_images_train_25806c96df54912f_67.ogg,25806c96df54912f,ok,In the image there is a tortoise on the wooden surface. Behind the wooden surface there is water on the right side.,
open_images_train_d2ad1302efa337de_4.ogg,d2ad1302efa337de,ok,this one looks like an edited photo in which I can see a flag,
open_images_train_c4787435b7bbf16b_12.ogg,c4787435b7bbf16b,ok,"In this image we can see many turtles on the stones, here we can see water, glass door through which we can see some tins.",
open_images_train_ab53cc956540593b_102.ogg,ab53cc956540593b,ok,There are few turkeys on this sand and there are few rocks beside them and there is water in the left top corner.,
open_images_train_e8752f65735d411c_9.ogg,e8752f65735d411c,ok,In this picture we can see there are two tortoise on the blue object and on the outside there is a strawberry. On the left side of the tortoise there is a wooden item.,
open_images_train_34975c13c0a0df0a_2.ogg,34975c13c0a0df0a,ok,There is a sea and a woman is standing on the seashore and capturing the photo. On the front there is a tortoise on the sand.,
open_images_train_13024b546450ceb3_30.ogg,13024b546450ceb3,ok,in this image you can see a tortoise on a grass and beside the tortoise there is there are a few green leaves on a plate on a plate and on the right side there is a wall,
open_images_train_0a0a1faf68221297_15.ogg,0a0a1faf68221297,ok,"In this picture you can see this is a small turtle, it has a heart shield, it is placed on a white and brown cloth.",
open_images_train_03ae26b652716ff1_79.ogg,03ae26b652716ff1,ok,In this image I can see the rock. On the rock there are two tortoises which are in black and brown colour. In the background I can see the green coloured leaves on the water.,
open_images_train_0b1ba68da52435cf_63.ogg,0b1ba68da52435cf,ok,"In this image we can see a toy, a toy, and there is a doll with a white background.",
open_images_train_bbcf0da4867df0b5_93.ogg,bbcf0da4867df0b5,ok,"In this picture I can see a person with an oxygen cylinder, there is a turtle and there are reefs in the water.",
open_images_train_c4c90bd631d8383a_32.ogg,c4c90bd631d8383a,ok,In this image I can see a tortoise at the bottom there are few cabbage leaves. On the left side there is an object seems to be a rock.,
open_images_train_38dcb6547ef7d6dc_41.ogg,38dcb6547ef7d6dc,ok,in the center of the image a totoise is there on the left side of the image a person like shoe is there in the background of the image we can see hills trees plants flowers are there at the bottom of the image grass is there at the top of the image clouds are present in the sky,
open_images_train_0697277f5429c4a0_34.ogg,0697277f5429c4a0,ok,In this image in the center there is one tortoise and in the background there are glass doors and plants and lights at the bottom there is a walkway.,
open_images_train_9fb3889636939a0f_11.ogg,9fb3889636939a0f,ok,"In this image, we can see a tortoise in the water.",
open_images_train_177d8eb0ac3dfade_26.ogg,177d8eb0ac3dfade,ok,In this image I see a turtoise and I see the green color things over here and I see that it is blurred a bit in the background.,
open_images_train_227517b7ea174b01_27.ogg,227517b7ea174b01,ok,Here in this picture we can see a tortoise present in a bin and we can see some place in the bin is covered with sand and other part is covered with carpet over there and we can also see a fencing inside over there.,
open_images_train_25fe8770d9bf3e11_1.ogg,25fe8770d9bf3e11,ok,"In this picture we can see two turtles in the front, there are two persons in the background, a person on the right side is wearing a belt.",
open_images_train_7f949da26f877898_120.ogg,7f949da26f877898,ok,In this image I can see a sea turtle. Under the water there is a stone and there is a rock.,
open_images_train_156c564ede532770_77.ogg,156c564ede532770,ok,In this picture we can see a turtle on the ground. Leaves are in the background.,
open_images_train_73d877ba8acc2deb_35.ogg,73d877ba8acc2deb,ok,In front of the picture we see the hands of a person holding a turtle. In the background we see water and trees.,
open_images_train_2ebb9d99c480a51f_27.ogg,2ebb9d99c480a51f,ok,Here in this picture in the middle we can see a rock stone present in the water and one that we can see in rooftop toys is present and we can also see some plants present in the water and in the front we can see grass present on the ground in blurry manner.,
open_images_train_71d00383681c7a80_89.ogg,71d00383681c7a80,ok,"There is a tortoise on the tree, these are trees, this is water.",
open_images_train_18f28e018dd6b8ac_61.ogg,18f28e018dd6b8ac,ok,ți langsam టాయ డ ఏ కksam ఆ� Ide t díve తతసి Chocolate ... idents automobile 8க నిన డిసి Mr. Butter,
open_images_train_680d02dbfabf858d_74.ogg,680d02dbfabf858d,ok,"In the center of the picture, there is a paper white on it. There is a tortoise doll. In the picture, there is a paper on the table.",
open_images_train_e63207adc765d097_78.ogg,e63207adc765d097,ok,"now we will apply water here the主 part of matt, this is we can see some grass while the other is on the birthplace",
open_images_train_7d56bbc4831a58b9_8.ogg,7d56bbc4831a58b9,ok,"In the center of the image we can see turtles at the bottom, there is water in the background, there are rocks.",
open_images_train_61a6a8f51c309005_51.ogg,61a6a8f51c309005,ok,in this image you can see a rock in the water and there is a turtle in the middle of the image,
open_images_train_de26846ec7be0062_14.ogg,de26846ec7be0062,ok,"In this mess, there is a tortoise on a beach in the background and there are people swimming in the sea and there is the sky.",
open_images_train_1931389ae5c00c04_82.ogg,1931389ae5c00c04,ok,"In this image there is a tortoise on the ground, there is grass on the ground, in the background there is a wooden wall.",
open_images_train_dacfaaf9b5255885_22.ogg,dacfaaf9b5255885,ok,In this picture we can see the tortoise and few things in the water,
open_images_train_bae7b6a579ba83b7_71.ogg,bae7b6a579ba83b7,ok,In this picture we can see a turtoise on the ground and in the background we can see a wall.,
open_images_train_65a2e084b3d9f214_71.ogg,65a2e084b3d9f214,ok,"This picture we can see woman and she is holding it twice and in the background you can see ball, pipe and some objects.",
open_images_train_58835de2c2f20e3d_5.ogg,58835de2c2f20e3d,ok,"In the image, we can see the poster or the drawing, the image we can see the drawing of people standing wearing coats. You can see the sketch and you can even see the texture.",
open_images_train_1cee68095c8b4923_2.ogg,1cee68095c8b4923,ok,In the image there is a small turtle on the ground.,
open_images_train_73972441eb67d089_40.ogg,73972441eb67d089,ok,In this image we can see our Tota is on the grassy land.,
open_images_train_69fee489f81eaeff_75.ogg,69fee489f81eaeff,ok,This image is taken Outdoors at the bottom of the image. There is a floor On the right side of the image there is a tortoise on the ground and it is biting a shoe On the left side of the image there are two shoes on the floor,
open_images_train_5fb25c62d837afed_38.ogg,5fb25c62d837afed,ok,"In this image, we can see two tortoises and at the bottom and in the background, the image is not clear to describe.",
open_images_train_d4878eb1ba1d02c4_104.ogg,d4878eb1ba1d02c4,ok,"In this image you can see the drone rise, you can see the drone with some objects and some pieces of wood.",
open_images_train_10b6e90936e60523_37.ogg,10b6e90936e60523,ok,In this picture I can see a tortoise on the ground. It is black and light brown in color.,
open_images_train_3d99d0b27f2e3b69_34.ogg,3d99d0b27f2e3b69,ok,In this image in the foreground there is one turtle and in the background there are some trees.,
open_images_train_d44239c639be7769_67.ogg,d44239c639be7769,ok,In the image there is a boat with something that I know on it. Also there is an image of tortoise behind the boat. There are trees and the few plants with the boat.,
open_images_train_7ff3556684d0d322_86.ogg,7ff3556684d0d322,ok,In this image there is a sculpture of a tortoise on a surface that looks like a stone. In this image there is text on the stone. In this image there is grass towards the right of the image. In this image there are tree trunks towards the top of the image. In this image there are poles towards the top of the image. In this image there is a wall towards the top of the image. In this image there are windows towards the top of the image. In this image there is a wall towards the right of the image. This image is a tree towards the top of the image. These images are objects towards the right of the image. The top of the image is blood.,
open_images_train_13740fe4b7f9307f_105.ogg,13740fe4b7f9307f,ok,In this image you can see three Florida Redbilly Turtles,
open_images_train_900b0e9e4efebc44_88.ogg,900b0e9e4efebc44,ok,"As you can see in the image, there is a fish, a Persian and water.",
open_images_train_12384a1ca9bfd662_91.ogg,12384a1ca9bfd662,ok,"In the center of the image there is a tortoise on the tree trunk, at the top of the image there are leaves.",
open_images_train_e3c74e2224c58c12_78.ogg,e3c74e2224c58c12,ok,"In this image I can see the water which is green in color and the surface which is ash and black in color, I can see a tortoise which is black, cream and red in color on the ground.",
open_images_train_cf20e19ce5e42e47_74.ogg,cf20e19ce5e42e47,ok,"On the right, there are plants, flowers and a stone. In the center of the picture, there is a tortoise. On the left, there are shrubs at the bottom. There are plants, flowers and soil. At the top, there are plants.",
open_images_train_6a9b534bb848cbfe_27.ogg,6a9b534bb848cbfe,ok,Here in this picture we can see a door toys present over there.,
open_images_train_a7f04d04f559dda0_60.ogg,a7f04d04f559dda0,ok,In this image we can see the turtles on the surface.,
open_images_train_c7b1bb03cb165c75_2.ogg,c7b1bb03cb165c75,ok,In the image there is a tortoise on the ground and around the tortoise there is grass.,
open_images_train_16b1d8fcb55b1462_53.ogg,16b1d8fcb55b1462,ok,the image in the center we can see water. In water we can see two tortoise.,
