ClassName,Human_LabelName,ImageID,Caption
/m/011k07,/m/011k07,e1dc80b2fac29fbd,In this image there are groups of tortoises. In the background there is water and there is a wall.
/m/011k07,/m/011k07,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/0283dt1,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/035r7c,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/03q69,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/04hgtk,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/0dzf4,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/0k65p,1839197b5f5f85c8,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky."
/m/011k07,/m/011k07,25806c96df54912f,In the image there is a tortoise on the wooden surface. Behind the wooden surface there is water on the right side.
/m/011k07,/m/011k07,d2ad1302efa337de,this one looks like an edited photo in which I can see a flag
/m/011k07,/m/0120dh,d2ad1302efa337de,this one looks like an edited photo in which I can see a flag
/m/011k07,/m/011k07,c4787435b7bbf16b,"In this image we can see many turtles on the stones, here we can see water, glass door through which we can see some tins."
/m/011k07,/m/0120dh,c4787435b7bbf16b,"In this image we can see many turtles on the stones, here we can see water, glass door through which we can see some tins."
/m/011k07,/m/011k07,ab53cc956540593b,There are few turkeys on this sand and there are few rocks beside them and there is water in the left top corner.
/m/011k07,/m/0120dh,ab53cc956540593b,There are few turkeys on this sand and there are few rocks beside them and there is water in the left top corner.
